Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 1
J1: 1,J2: 0,R1: 1,R2: 15,h = -1

Iteration:,0
Entropy:,0.690772
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38154
1,0.606365,1.51198,0.130433
2,0.238588,1.57982,0.198277
3,0.118217,1.55978,0.178232
4,0.0680321,1.53653,0.154989
5,0.0361432,1.51848,0.136931
6,0.0145136,1.50316,0.12161
7,0.00192099,1.49135,0.109808
8,0.00919012,1.48389,0.102345
9,0.0143753,1.48349,0.10195
10,0.016079,1.48694,0.105399
11,0.018281,1.4872,0.105653
12,0.023079,1.48201,0.100461
13,0.0262841,1.47779,0.0962406
14,0.0271266,1.47797,0.0964216


Iteration:,1
Entropy:,0.689944
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.37989
1,0.591378,1.51725,0.137358
2,0.198044,1.57714,0.197248
3,0.0469333,1.53778,0.15789
4,0.0064,1.49766,0.117773
5,0.0228444,1.47977,0.0998806
6,0.0208444,1.47885,0.0989586
7,0.014019,1.48581,0.105922
8,0.0133444,1.48874,0.108848
9,0.0125728,1.48946,0.109577
10,0.0104,1.49163,0.111743
11,0.0033697,1.496,0.11611
12,0.00748889,1.50098,0.121089
13,0.0139419,1.50379,0.123903
14,0.0145524,1.50236,0.122477


Iteration:,2
Entropy:,0.693137
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38627
1,0.584425,1.52942,0.143143
2,0.18998,1.58237,0.196094
3,0.0599802,1.54142,0.155148
4,0.0160914,1.51125,0.124971
5,0.00268642,1.49886,0.112582
6,0.00705679,1.50108,0.114805
7,0.00125009,1.51191,0.125636
8,0.00998025,1.51783,0.131557
9,0.012079,1.51427,0.127992
10,0.00664691,1.50576,0.119486
11,0.00159641,1.49916,0.112887
12,0.00224198,1.49914,0.112862
13,0.00514796,1.50133,0.115059
14,0.00652769,1.49965,0.113379


Iteration:,3
Entropy:,0.665672
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.33134
1,0.565556,1.46229,0.130947
2,0.178889,1.52493,0.193589
3,0.032963,1.48878,0.157436
4,0.0211111,1.45124,0.119899
5,0.0353333,1.43727,0.105923
6,0.037037,1.43544,0.104096
7,0.0512698,1.43029,0.0989482
8,0.0658333,1.42555,0.0942047
9,0.0655556,1.43018,0.0988308
10,0.0568889,1.43739,0.106042
11,0.0459596,1.44328,0.111938
12,0.0368519,1.44486,0.113516
13,0.0366667,1.43903,0.107684
14,0.0328571,1.43575,0.10441


Averages
Entropy:,0.684881
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.36976
1,0.586931,1.50523,0.13547
2,0.201375,1.56607,0.196302
3,0.0645235,1.53194,0.162177
4,0.0279086,1.49917,0.129408
5,0.0242519,1.48359,0.113829
6,0.019863,1.47963,0.109867
7,0.017115,1.47984,0.110079
8,0.024587,1.479,0.109239
9,0.0261457,1.47935,0.109587
10,0.0225037,1.48043,0.110667
11,0.0173017,1.48141,0.111647
12,0.0174154,1.48175,0.111982
13,0.0205102,1.48048,0.110721
14,0.020266,1.47893,0.109172


