Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 3
J1: 0,J2: -0.1,R1: 1,R2: 4,h = -1

Iteration:,0
Entropy:,0.63955
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.2791
1,0.21918,1.46514,0.186041
2,0.199709,1.26799,0.0111067
3,0.211931,1.21606,0.0630439
4,0.058042,1.39813,0.119029
5,0.0582914,1.45902,0.17992
6,0.0417728,1.443,0.163899
7,0.0608198,1.36613,0.087032
8,0.114153,1.32866,0.0495543
9,0.0805728,1.37832,0.0992156
10,0.0134864,1.42497,0.145871
11,0.00162783,1.4254,0.146298
12,0.0482272,1.39887,0.119767
13,0.085948,1.37508,0.0959759
14,0.0746293,1.38083,0.101728


Iteration:,1
Entropy:,0.642498
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.285
1,0.218202,1.47115,0.186151
2,0.220686,1.26651,0.0184905
3,0.211427,1.2173,0.0676984
4,0.0195753,1.41167,0.126675
5,0.0759802,1.46855,0.183553
6,0.0021679,1.44452,0.159518
7,0.0935436,1.35854,0.0735473
8,0.0967975,1.3312,0.0462045
9,0.0395753,1.39352,0.10852
10,0.0113531,1.43297,0.147972
11,0.0286662,1.42919,0.144197
12,0.0569827,1.40209,0.117094
13,0.063336,1.38353,0.0985291
14,0.0511626,1.38948,0.104478


Iteration:,2
Entropy:,0.636514
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.27303
1,0.211111,1.45788,0.184856
2,0.227778,1.25836,0.0146688
3,0.227407,1.21147,0.0615613
4,0.035,1.39997,0.126938
5,0.0786667,1.45325,0.180219
6,0.0162963,1.43207,0.159041
7,0.0939683,1.3527,0.0796756
8,0.112222,1.32952,0.0564907
9,0.0609877,1.38323,0.110203
10,0.02,1.4166,0.14357
11,0.0246465,1.41409,0.141066
12,0.0533333,1.3901,0.117067
13,0.0687179,1.37608,0.103055
14,0.0668254,1.37903,0.106002


Iteration:,3
Entropy:,0.64177
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.28354
1,0.205684,1.46802,0.18448
2,0.213205,1.26071,0.0228288
3,0.201723,1.22241,0.0611249
4,0.0237605,1.41651,0.132966
5,0.0639062,1.46592,0.182381
6,0.00160988,1.43938,0.155844
7,0.0800303,1.35847,0.0749262
8,0.0940383,1.33094,0.0474039
9,0.0506123,1.39189,0.108352
10,0.0194272,1.43195,0.148415
11,0.023609,1.4322,0.148661
12,0.045242,1.40268,0.119142
13,0.06594,1.36965,0.0861073
14,0.0611414,1.37851,0.0949667


Averages
Entropy:,0.640083
Corr Length:,1
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.28017
1,0.213544,1.46555,0.185382
2,0.215344,1.26339,0.0167737
3,0.213122,1.21681,0.0633571
4,0.0340944,1.40657,0.126402
5,0.0692111,1.46168,0.181518
6,0.0154617,1.43974,0.159575
7,0.0820905,1.35896,0.0787953
8,0.104303,1.33008,0.0499133
9,0.057937,1.38674,0.106573
10,0.0160667,1.42662,0.146457
11,0.0196374,1.42522,0.145055
12,0.0509463,1.39843,0.118267
13,0.0709855,1.37608,0.0959168
14,0.0634397,1.38196,0.101794


