Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 22
J1: 1,J2: -0.1,R1: 3,R2: 9,h = 0

Iteration:,0
Entropy:,0.692256
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38451
1,0.784884,1.38167,0.00283881
2,0.461551,1.49917,0.114654
3,0.295254,1.56683,0.182322
4,0.177106,1.58258,0.198069
5,0.080884,1.55839,0.173879
6,0.00562469,1.50754,0.123026
7,0.0408303,1.45278,0.0682642
8,0.0503938,1.42458,0.0400729
9,0.0407951,1.42024,0.0357296
10,0.0248938,1.43248,0.047964
11,0.00703524,1.4512,0.0666893
12,0.00840247,1.4725,0.0879883
13,0.018901,1.48907,0.104561
14,0.0256776,1.50145,0.116935


Iteration:,1
Entropy:,0.692792
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38558
1,0.763733,1.40458,0.0189968
2,0.424844,1.52129,0.135704
3,0.247437,1.57873,0.193146
4,0.114289,1.57628,0.190701
5,0.00817778,1.52826,0.142677
6,0.0762667,1.45358,0.0679932
7,0.117854,1.39648,0.0108997
8,0.123211,1.37797,0.0076177
9,0.105896,1.39291,0.00732388
10,0.0731556,1.42631,0.0407298
11,0.0415192,1.4581,0.0725143
12,0.00997037,1.48807,0.102491
13,0.0184342,1.51023,0.124648
14,0.0359556,1.52303,0.137449


Iteration:,2
Entropy:,0.691724
Corr Length:,3
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38345
1,0.792711,1.37149,0.011957
2,0.4616,1.49559,0.112137
3,0.293452,1.56434,0.180895
4,0.169933,1.58165,0.198201
5,0.0691556,1.55956,0.176115
6,0.0109926,1.51189,0.128438
7,0.0641143,1.46095,0.0775041
8,0.0872889,1.4281,0.0446556
9,0.0885235,1.41933,0.0358801
10,0.0786222,1.42627,0.0428199
11,0.0644606,1.44199,0.0585376
12,0.0467333,1.46281,0.0793589
13,0.0301949,1.48211,0.098666
14,0.0158603,1.49724,0.113795


Iteration:,3
Entropy:,0.691603
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38321
1,0.76358,1.40051,0.0173077
2,0.419136,1.51747,0.134263
3,0.237654,1.57515,0.191943
4,0.102469,1.57453,0.191323
5,0.000419753,1.53003,0.146827
6,0.0753086,1.46178,0.0785689
7,0.114198,1.40173,0.0185197
8,0.115864,1.37891,0.00429539
9,0.0937037,1.39136,0.00815475
10,0.066642,1.42133,0.0381194
11,0.039046,1.45476,0.071551
12,0.0180864,1.48086,0.0976572
13,0.00291548,1.49988,0.116675
14,0.00881834,1.51256,0.129351


Averages
Entropy:,0.692094
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38419
1,0.776227,1.38956,0.0127751
2,0.441783,1.50838,0.124189
3,0.268449,1.57126,0.187076
4,0.140949,1.57876,0.194573
5,0.0396593,1.54406,0.159875
6,0.0420481,1.48369,0.0995066
7,0.084249,1.42798,0.0437969
8,0.0941895,1.40239,0.0241604
9,0.0822296,1.40596,0.0217721
10,0.0608284,1.4266,0.0424083
11,0.0380153,1.45151,0.067323
12,0.0207981,1.47606,0.0918739
13,0.0176114,1.49532,0.111137
14,0.021578,1.50857,0.124383


