Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 31
J1: 1,J2: -0.1,R1: 7,R2: 9,h = 0

Iteration:,0
Entropy:,-0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,-0,0
2,0.25,-0,0
3,0.333333,-0,0
4,0.375,-0,0
5,0.4,-0,0
6,0.416667,-0,0
7,0.428571,-0,0
8,0.4375,-0,0
9,0.444444,-0,0
10,0.45,-0,0
11,0.454545,-0,0
12,0.458333,-0,0
13,0.461538,-0,0
14,0.464286,-0,0


Iteration:,1
Entropy:,0.67346
Corr Length:,5
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.34692
1,0.889773,1.15651,0.19041
2,0.60644,1.26234,0.0845806
3,0.489773,1.34209,0.00482919
4,0.414773,1.40399,0.0570732
5,0.35644,1.45199,0.105071
6,0.30644,1.48839,0.141469
7,0.261836,1.51468,0.167762
8,0.220328,1.5319,0.184979
9,0.180637,1.54077,0.193852
10,0.142217,1.54183,0.194911
11,0.104722,1.53546,0.188536
12,0.0697728,1.52238,0.175462
13,0.0388327,1.50438,0.157465
14,0.0123125,1.48381,0.136895


Iteration:,2
Entropy:,-0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,-0,0
2,0.25,-0,0
3,0.333333,-0,0
4,0.375,-0,0
5,0.4,-0,0
6,0.416667,-0,0
7,0.428571,-0,0
8,0.4375,-0,0
9,0.444444,-0,0
10,0.45,-0,0
11,0.454545,-0,0
12,0.458333,-0,0
13,0.461538,-0,0
14,0.464286,-0,0


Iteration:,3
Entropy:,-0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,-0,0
2,0.25,-0,0
3,0.333333,-0,0
4,0.375,-0,0
5,0.4,-0,0
6,0.416667,-0,0
7,0.428571,-0,0
8,0.4375,-0,0
9,0.444444,-0,0
10,0.45,-0,0
11,0.454545,-0,0
12,0.458333,-0,0
13,0.461538,-0,0
14,0.464286,-0,0


Averages
Entropy:,0.168365
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0.33673
1,0.222443,0.289127,0.0476026
2,0.33911,0.315585,0.0211452
3,0.372443,0.335523,0.0012073
4,0.384943,0.350998,0.0142683
5,0.38911,0.362997,0.0262677
6,0.38911,0.372097,0.0353672
7,0.386888,0.37867,0.0419405
8,0.383207,0.382975,0.0462447
9,0.378493,0.385193,0.048463
10,0.373054,0.385458,0.0487277
11,0.36709,0.383864,0.047134
12,0.361193,0.380595,0.0438656
13,0.355862,0.376096,0.0393662
14,0.351292,0.370953,0.0342237


