Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 5
J1: 0,J2: -0.1,R1: 1,R2: 6,h = -5

Iteration:,0
Entropy:,0.400909
Corr Length:,12
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0.801818
1,0.186291,0.929572,0.127754
2,0.148153,0.918438,0.11662
3,0.223338,0.856967,0.0551495
4,0.243153,0.850852,0.0490341
5,0.24482,0.874773,0.0729556
6,0.21556,0.92064,0.118822
7,0.181963,0.940285,0.138467
8,0.18232,0.940902,0.139085
9,0.213462,0.928307,0.126489
10,0.243264,0.903554,0.101736
11,0.261183,0.886821,0.0850035
12,0.267412,0.889353,0.0875357
13,0.255418,0.909842,0.108025
14,0.22974,0.929944,0.128126


Iteration:,1
Entropy:,0.394749
Corr Length:,11
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0.789498
1,0.172143,0.918807,0.12931
2,0.152301,0.905098,0.1156
3,0.221931,0.854166,0.064668
4,0.241746,0.84583,0.0563321
5,0.243857,0.863958,0.0744606
6,0.211931,0.907142,0.117645
7,0.183095,0.925436,0.135938
8,0.194246,0.924766,0.135268
9,0.225635,0.913981,0.124484
10,0.24919,0.897588,0.10809
11,0.261998,0.882476,0.0929779
12,0.26082,0.883539,0.0940415
13,0.243925,0.900974,0.111476
14,0.224523,0.916097,0.126599


Iteration:,2
Entropy:,0.390589
Corr Length:,11
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0.781179
1,0.170069,0.909244,0.128065
2,0.147709,0.898651,0.117473
3,0.222523,0.848568,0.0673897
4,0.246598,0.836118,0.0549391
5,0.24682,0.861994,0.0808152
6,0.216227,0.902222,0.121043
7,0.197232,0.915321,0.134142
8,0.215209,0.911329,0.130151
9,0.241783,0.898949,0.117771
10,0.257709,0.888497,0.107318
11,0.260234,0.886022,0.104843
12,0.254375,0.891889,0.11071
13,0.244632,0.900701,0.119522
14,0.242312,0.903038,0.121859


Iteration:,3
Entropy:,0.398866
Corr Length:,11
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0.797732
1,0.178622,0.926959,0.129227
2,0.154711,0.912478,0.114746
3,0.224341,0.857381,0.059649
4,0.246933,0.848977,0.0512449
5,0.249378,0.874939,0.0772064
6,0.216563,0.919148,0.121416
7,0.184235,0.935763,0.138031
8,0.198322,0.93338,0.135648
9,0.234217,0.917346,0.119614
10,0.2576,0.900537,0.102805
11,0.269459,0.893856,0.0961237
12,0.268785,0.898317,0.100585
13,0.252147,0.913064,0.115332
14,0.23233,0.924767,0.127035


Averages
Entropy:,0.396278
Corr Length:,11
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0.792557
1,0.176781,0.921146,0.128589
2,0.150719,0.908666,0.11611
3,0.223033,0.854271,0.061714
4,0.244607,0.845444,0.0528875
5,0.246219,0.868916,0.0763595
6,0.21507,0.912288,0.119731
7,0.186631,0.929201,0.136645
8,0.197524,0.927595,0.135038
9,0.228774,0.914646,0.122089
10,0.251941,0.897544,0.104987
11,0.263219,0.887294,0.0947371
12,0.262848,0.890775,0.0982181
13,0.24903,0.906145,0.113589
14,0.232226,0.918461,0.125905


