Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 8
J1: 0,J2: -0.1,R1: 1,R2: 9,h = 0

Iteration:,0
Entropy:,0.693125
Corr Length:,6
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38625
1,0.666622,1.48332,0.0970674
2,0.255511,1.56993,0.18368
3,0.0192148,1.57514,0.188887
4,0.173378,1.48247,0.0962154
5,0.336933,1.31386,0.0723881
6,0.374489,1.18324,0.203011
7,0.298775,1.22527,0.160975
8,0.160044,1.35745,0.0287984
9,0.012637,1.47629,0.0900354
10,0.121956,1.55395,0.167702
11,0.197127,1.58117,0.194916
12,0.206993,1.58397,0.197719
13,0.166793,1.57996,0.193713
14,0.0936063,1.55856,0.172313


Iteration:,1
Entropy:,0.693147
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.666667,1.48336,0.0970614
2,0.372222,1.56997,0.18368
3,0.2,1.57519,0.188896
4,0.0527778,1.48253,0.0962373
5,0.0631111,1.31474,0.0715495
6,0.122963,1.18129,0.205003
7,0.135238,1.22239,0.163904
8,0.0966667,1.35753,0.028761
9,0.0301235,1.47635,0.0900581
10,0.0442222,1.5538,0.16751
11,0.0927273,1.58141,0.195117
12,0.10963,1.58407,0.197774
13,0.0986325,1.58025,0.193951
14,0.0615873,1.55938,0.173081


Iteration:,2
Entropy:,0.693147
Corr Length:,6
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38629
1,0.666667,1.48336,0.0970614
2,0.254444,1.56997,0.18368
3,0.0185185,1.57519,0.188896
4,0.174444,1.48253,0.0962373
5,0.340444,1.31474,0.0715495
6,0.376296,1.18129,0.205003
7,0.300317,1.22239,0.163904
8,0.158333,1.35753,0.028761
9,0.0106173,1.47635,0.0900581
10,0.125556,1.5538,0.16751
11,0.199798,1.58141,0.195117
12,0.208333,1.58407,0.197774
13,0.168034,1.58025,0.193951
14,0.094127,1.55938,0.173081


Iteration:,3
Entropy:,0.693137
Corr Length:,2
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38627
1,0.655536,1.49052,0.104249
2,0.29998,1.57933,0.193058
3,0.0999802,1.56202,0.175745
4,0.062242,1.4526,0.0663221
5,0.173798,1.3071,0.0791759
6,0.189649,1.24787,0.138403
7,0.158432,1.29504,0.0912376
8,0.0850198,1.40264,0.0163648
9,0.0108444,1.5058,0.119522
10,0.0899802,1.56301,0.176731
11,0.121596,1.57905,0.192772
12,0.115536,1.57876,0.192485
13,0.0726298,1.56357,0.177297
14,0.0139485,1.52439,0.138111


Averages
Entropy:,0.693139
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,1.38628
1,0.663873,1.48514,0.0988598
2,0.29554,1.5723,0.186024
3,0.0844284,1.57188,0.185606
4,0.11571,1.47503,0.088753
5,0.228572,1.31261,0.0736657
6,0.265849,1.19842,0.187855
7,0.223191,1.24127,0.145005
8,0.125016,1.36879,0.0256713
9,0.0160556,1.4837,0.0974183
10,0.0954284,1.55614,0.169863
11,0.152812,1.58076,0.194481
12,0.160123,1.58272,0.196438
13,0.126522,1.57601,0.189728
14,0.0658173,1.55042,0.164146


