Jonathan Lamont
Activation/Inhibition Cellular Automaton

Trial Number 37
J1: 1,J2: -0.1,R1: 12,R2: 14,h = 0

Iteration:,0
Entropy:,-0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,-0,0
2,0.25,-0,0
3,0.333333,-0,0
4,0.375,-0,0
5,0.4,-0,0
6,0.416667,-0,0
7,0.428571,-0,0
8,0.4375,-0,0
9,0.444444,-0,0
10,0.45,-0,0
11,0.454545,-0,0
12,0.458333,-0,0
13,0.461538,-0,0
14,0.464286,-0,0


Iteration:,1
Entropy:,-0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,-0,0
2,0.25,-0,0
3,0.333333,-0,0
4,0.375,-0,0
5,0.4,-0,0
6,0.416667,-0,0
7,0.428571,-0,0
8,0.4375,-0,0
9,0.444444,-0,0
10,0.45,-0,0
11,0.454545,-0,0
12,0.458333,-0,0
13,0.461538,-0,0
14,0.464286,-0,0


Iteration:,2
Entropy:,-0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,-0,0
2,0.25,-0,0
3,0.333333,-0,0
4,0.375,-0,0
5,0.4,-0,0
6,0.416667,-0,0
7,0.428571,-0,0
8,0.4375,-0,0
9,0.444444,-0,0
10,0.45,-0,0
11,0.454545,-0,0
12,0.458333,-0,0
13,0.461538,-0,0
14,0.464286,-0,0


Iteration:,3
Entropy:,-0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,-0,0
2,0.25,-0,0
3,0.333333,-0,0
4,0.375,-0,0
5,0.4,-0,0
6,0.416667,-0,0
7,0.428571,-0,0
8,0.4375,-0,0
9,0.444444,-0,0
10,0.45,-0,0
11,0.454545,-0,0
12,0.458333,-0,0
13,0.461538,-0,0
14,0.464286,-0,0


Averages
Entropy:,0
Corr Length:,4
Distance,Correlation,Joint Entropy,Mutual Info
0,1,0,0
1,0,0,0
2,0.25,0,0
3,0.333333,0,0
4,0.375,0,0
5,0.4,0,0
6,0.416667,0,0
7,0.428571,0,0
8,0.4375,0,0
9,0.444444,0,0
10,0.45,0,0
11,0.454545,0,0
12,0.458333,0,0
13,0.461538,0,0
14,0.464286,0,0


