Jonathan Lamont
Hopfield Network
CS527

# Patterns,Unstable Fraction,Stable Imprints
Run,1
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0.272727,8
12,0,12
13,0.153846,11
14,0.0714286,13
15,0.266667,11
16,0.375,10
17,0.294118,12
18,0.5,9
19,0.631579,7
20,0.65,7
21,0.571429,9
22,0.863636,3
23,0.913043,2
24,0.875,3
25,0.84,4
26,0.769231,6
27,0.962963,1
28,0.964286,1
29,1,0
30,0.933333,2
31,0.935484,2
32,0.96875,1
33,1,0
34,1,0
35,1,0
36,1,0
37,0.972973,1
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,2
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0.111111,8
10,0,10
11,0,11
12,0,12
13,0.230769,10
14,0.142857,12
15,0.333333,10
16,0.5,8
17,0.529412,8
18,0.277778,13
19,0.631579,7
20,0.2,16
21,0.47619,11
22,0.454545,12
23,0.782609,5
24,0.875,3
25,0.84,4
26,0.961538,1
27,0.851852,4
28,0.964286,1
29,1,0
30,0.966667,1
31,1,0
32,1,0
33,1,0
34,1,0
35,0.971429,1
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,3
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0.0833333,11
13,0.153846,11
14,0.0714286,13
15,0.333333,10
16,0.4375,9
17,0.352941,11
18,0.277778,13
19,0.578947,8
20,0.65,7
21,0.714286,6
22,0.727273,6
23,0.73913,6
24,0.833333,4
25,0.84,4
26,0.923077,2
27,0.925926,2
28,0.857143,4
29,0.896552,3
30,1,0
31,0.870968,4
32,1,0
33,0.909091,3
34,0.970588,1
35,1,0
36,1,0
37,1,0
38,1,0
39,0.974359,1
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,4
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0.0909091,10
12,0.333333,8
13,0.153846,11
14,0.142857,12
15,0.333333,10
16,0.4375,9
17,0.529412,8
18,0.555556,8
19,0.526316,9
20,0.75,5
21,0.47619,11
22,0.727273,6
23,0.565217,10
24,0.833333,4
25,0.88,3
26,0.807692,5
27,0.925926,2
28,0.964286,1
29,1,0
30,0.933333,2
31,0.935484,2
32,1,0
33,1,0
34,0.941176,2
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,5
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0.111111,8
10,0.1,9
11,0.0909091,10
12,0,12
13,0.0769231,12
14,0,14
15,0.4,9
16,0.3125,11
17,0.294118,12
18,0.555556,8
19,0.263158,14
20,0.55,9
21,0.809524,4
22,0.590909,9
23,0.913043,2
24,0.708333,7
25,0.88,3
26,0.961538,1
27,0.925926,2
28,0.964286,1
29,0.965517,1
30,1,0
31,0.903226,3
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,6
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0.0833333,11
13,0.230769,10
14,0.357143,9
15,0.333333,10
16,0,16
17,0.294118,12
18,0.388889,11
19,0.631579,7
20,0.65,7
21,0.380952,13
22,0.636364,8
23,0.869565,3
24,0.833333,4
25,0.84,4
26,0.846154,4
27,0.962963,1
28,0.892857,3
29,0.896552,3
30,0.933333,2
31,1,0
32,0.96875,1
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,7
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0.111111,8
10,0.1,9
11,0,11
12,0.166667,10
13,0.153846,11
14,0.214286,11
15,0.2,12
16,0.1875,13
17,0.235294,13
18,0.333333,12
19,0.736842,5
20,0.6,8
21,0.380952,13
22,0.863636,3
23,0.652174,8
24,0.875,3
25,0.8,5
26,0.923077,2
27,0.962963,1
28,0.892857,3
29,1,0
30,0.966667,1
31,1,0
32,1,0
33,0.939394,2
34,0.970588,1
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,8
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0.111111,8
10,0,10
11,0,11
12,0.0833333,11
13,0.153846,11
14,0.5,7
15,0.333333,10
16,0.125,14
17,0.411765,10
18,0.5,9
19,0.736842,5
20,0.45,11
21,0.666667,7
22,0.590909,9
23,0.73913,6
24,0.75,6
25,0.92,2
26,0.884615,3
27,0.962963,1
28,0.964286,1
29,0.931034,2
30,0.966667,1
31,1,0
32,0.96875,1
33,0.969697,1
34,1,0
35,1,0
36,1,0
37,0.972973,1
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,9
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0.0833333,11
13,0.153846,11
14,0.285714,10
15,0.133333,13
16,0.125,14
17,0.235294,13
18,0.611111,7
19,0.473684,10
20,0.55,9
21,0.714286,6
22,0.727273,6
23,0.869565,3
24,0.625,9
25,0.8,5
26,0.923077,2
27,0.962963,1
28,1,0
29,0.862069,4
30,0.933333,2
31,0.967742,1
32,0.96875,1
33,0.969697,1
34,0.970588,1
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Run,10
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0.0909091,10
12,0,12
13,0.307692,9
14,0.214286,11
15,0.133333,13
16,0.625,6
17,0.117647,15
18,0.5,9
19,0.473684,10
20,0.5,10
21,0.761905,5
22,0.681818,7
23,0.608696,9
24,0.833333,4
25,0.92,2
26,1,0
27,0.962963,1
28,0.928571,2
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,0.948718,2
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


Averages
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0.0444444,8
10,0.02,9
11,0.0545455,10
12,0.0833333,11
13,0.176923,10
14,0.2,11
15,0.28,10
16,0.3125,11
17,0.329412,11
18,0.45,9
19,0.568421,8
20,0.555,8
21,0.595238,8
22,0.686364,6
23,0.765217,5
24,0.804167,4
25,0.856,3
26,0.9,2
27,0.940741,1
28,0.939286,1
29,0.955172,1
30,0.963333,1
31,0.96129,1
32,0.9875,0
33,0.978788,0
34,0.985294,0
35,0.997143,0
36,1,0
37,0.994595,0
38,1,0
39,0.992308,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0


# Patterns,vs,Basin Size
 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
